nome,nome_it,tipo,comune,provincia,lat,lon,osm_id,wikipedia,wikidata
Carpello,,hamlet,,,42.9433343,12.731527,3901615099,,Q18492348
Carpina,,hamlet,,,43.3595354,12.1483351,10539724012,,
Carpini,,hamlet,,,43.3841347,12.3853345,3903353274,,Q18492350
Carraia,,hamlet,,,43.0827939,12.0707045,3903408546,,Q18492352
Carticina,,hamlet,,,43.1694183,12.777303,3798185718,,
Carvello,,hamlet,,,42.8206743,12.7898438,3961981091,,Q18492354
Casa Cantoniera,,hamlet,,,42.6064972,12.7510988,649279902,,Q18494542
Casa Fiorelli,,hamlet,,,42.8319402,12.6394215,650721573,,Q18492358
Casa Fiorenzi,,hamlet,,,43.3577741,12.1853733,10550448487,,
Casa Maggi,,hamlet,,,42.8227682,12.6161979,650721623,,Q18492359
Casa Naticchia,,hamlet,,,42.8617284,12.5985097,3950043659,,Q18492361
Casa Pacico,,hamlet,,,43.0367478,12.7512585,12117133921,,
Casa Paolinami,,hamlet,,,43.0168997,12.1404499,4018078071,,Q18492363
Casa Perazza,,hamlet,,,42.6905353,12.0176588,317003766,,
Casa Sant'Angelo,,hamlet,,,42.8421373,12.9041814,12114326643,,
Casa Sorbelli,,hamlet,,,43.228601,12.7348655,12118620408,,
Casa Stendardo,,hamlet,,,42.83268,12.6310203,650721606,,Q18492365
Casa Tommaso,,hamlet,,,43.0664811,12.7438984,317000992,,Q18492366
Casa del Diavolo,,village,,,43.1879256,12.450892,312446668,it:Casa del Diavolo,Q18492356
Casacastalda,,village,,,43.1969529,12.6479765,719963558,it:Casacastalda,Q2154066
Casacce,,hamlet,,,43.213747,12.531459,312446666,,Q18492370
Casacce,,hamlet,,,43.4213244,12.7557144,5221846509,,
Casaccia,,hamlet,,,42.8919393,12.3551379,339387579,,Q18492372
Casaccia,,hamlet,,,43.5430031,12.1974317,623598967,,
Casaccia,,hamlet,,,43.4249205,12.1645239,1272038185,,
Casaccia,,hamlet,,,43.0294346,12.4139728,4022428449,,
Casaceccame,,hamlet,,,42.9937354,12.1329213,4026452641,,Q18492373
Casaciottoli,,hamlet,,,42.8108254,12.373372,4031085702,,Q18492374
Casaglia,,village,,,43.1061164,12.4326916,928996602,,
